"geo_id","name","s1701_c01_001e","s1701_c03_001e"
"11001010602","Census Tract 106.02, District of Columbia, District of Columbia","5726","17.0"
"11001010603","Census Tract 106.03, District of Columbia, District of Columbia","2496","4.2"
"11001010700","Census Tract 107, District of Columbia, District of Columbia","1556","10.6"
"11001010800","Census Tract 108, District of Columbia, District of Columbia","1020","39.8"
"11001010900","Census Tract 109, District of Columbia, District of Columbia","3634","28.2"
"11001011001","Census Tract 110.01, District of Columbia, District of Columbia","2385","2.7"
"11001011002","Census Tract 110.02, District of Columbia, District of Columbia","1469","6.1"
"11001011100","Census Tract 111, District of Columbia, District of Columbia","4984","17.6"
"11001980000","Census Tract 9800, District of Columbia, District of Columbia","17","0.0"
"1600000US1150000","Washington city, District of Columbia","651618","15.4"
